id,pool_id,dc_id,power,lifespan,format,number_of_ports,cpu_quantity,cpu_model_name,cpu_core_number,ram_quantity,ram_unit_size,fan_quantity,quantity,comment
net-01,client_vm,dc-generic-glo,300,5,,,,,,,,,1,
net-02,client_vm,dc-generic-glo,200,5,,,,,,,,,1,
net-03,client_vm,dc-generic-glo,100,5,,,,,,,,,1,
net-11,client_compute,dc-generic-glo,300,5,,,,,,,,,1,
net-12,client_compute,dc-generic-glo,200,5,,,,,,,,,1,
net-13,client_compute,dc-generic-glo,100,5,,,,,,,,,1,
net-21,client_database,dc-generic-glo,300,5,,,,,,,,,1,
net-22,client_database,dc-generic-glo,200,5,,,,,,,,,1,
net-23,client_database,dc-generic-glo,100,5,,,,,,,,,1,
net-31,client_storage_space,dc-generic-glo,300,5,,,,,,,,,1,
net-32,client_storage_space,dc-generic-glo,200,5,,,,,,,,,1,
net-33,client_storage_space,dc-generic-glo,100,5,,,,,,,,,1,
net-41,client_paas,dc-generic-glo,300,5,,,,,,,,,1,
net-42,client_paas,dc-generic-glo,200,5,,,,,,,,,1,
net-43,client_paas,dc-generic-glo,100,5,,,,,,,,,1,
mutualized-net-01,mutualized,dc-generic-glo,600,5,,,,,,,,,1,
mutualized-net-02,mutualized,dc-generic-glo,300,5,,,,,,,,,1,
mutualized-net-03,mutualized,dc-generic-glo,200,5,,,,,,,,,1,
