id,pool_id,dc_id,power,lifespan,hdd_quantity,hdd_unit_size,ssd_quantity,ssd_unit_size,ram_quantity,ram_unit_size,gpu_quantity,gpu_model_name,fan_quantity,psu_total_weight,load_rate,comment,quantity
srv-01,client_vm,dc-generic-glo,100,5,,,,,,,,,,,,,1
srv-02,client_vm,dc-generic-glo,150,5,,,,,,,,,,,,,1
srv-03,client_vm,dc-generic-glo,200,5,,,,,,,,,,,,,1
srv-11,client_compute,dc-generic-glo,100,5,,,,,,,,,,,,,1
srv-12,client_compute,dc-generic-glo,150,5,,,,,,,,,,,,,1
srv-13,client_compute,dc-generic-glo,200,5,,,,,,,,,,,,,1
srv-21,client_database,dc-generic-glo,100,5,,,,,,,,,,,,,1
srv-22,client_database,dc-generic-glo,150,5,,,,,,,,,,,,,1
srv-23,client_database,dc-generic-glo,200,5,,,,,,,,,,,,,1
srv-31,client_storage_space,dc-generic-glo,100,5,,,,,,,,,,,,,1
srv-32,client_storage_space,dc-generic-glo,150,5,,,,,,,,,,,,,1
srv-33,client_storage_space,dc-generic-glo,200,5,,,,,,,,,,,,,1
srv-41,client_paas,dc-generic-glo,100,5,,,,,,,,,,,,,1
srv-42,client_paas,dc-generic-glo,150,5,,,,,,,,,,,,,1
srv-43,client_paas,dc-generic-glo,200,5,,,,,,,,,,,,,1
mutualized-srv-01,mutualized,dc-generic-glo,300,5,,,,,,,,,,,,,1
mutualized-srv-02,mutualized,dc-generic-glo,500,5,,,,,,,,,,,,,1
mutualized-srv-03,mutualized,dc-generic-glo,100,5,,,,,,,,,,,,,1
